id,saleprice
2658,151100.51863197214
2718,200481.47019308782
2414,186688.37916847784
1989,125324.71211372828
625,180181.94433440873
333,84256.69200169109
1327,111625.51622682111
858,149784.13785757287
95,206558.93772847438
1568,163720.02060976997
2482,163144.27090299223
1364,132857.882552234
2584,162754.39742639195
818,270322.03754387517
2673,177844.34661098267
2089,131540.91518251668
1297,147579.27477541496
790,116050.48216059362
2616,194251.92305988236
720,180460.2389059742
222,137701.42818057723
557,125545.85117014078
1148,192564.15567333484
2766,166171.85191954486
534,194997.64791950793
1452,117058.90467668604
630,136384.46339766774
2648,117124.30725913565
125,154824.98796795262
1904,40181.550556336064
1670,110304.06714253733
756,93498.7411336198
717,247615.97668390535
1032,146924.79420158034
852,218376.1040200221
1731,186595.01727236668
2639,117566.02682773909
2071,87958.49487321754
1267,117676.36727500777
1851,210146.62371205515
567,164506.636998747
2439,208406.15649275435
1898,161618.71205287566
647,149592.1228711512
2256,230753.40054378659
979,96321.18757607369
1444,215783.69156945264
2485,92227.49173139292
157,125919.24048359343
88,120970.67507803277
2003,93764.42758476245
186,195707.37430534023
1425,259440.8276506383
2695,128830.22228946723
738,109816.77059908514
395,159930.84488661168
1353,180966.84150947584
1878,146560.18039785512
390,170049.30518961768
1456,227217.77448776434
1103,324422.0998518204
1387,125990.21882488113
2070,151261.27200358734
1199,179211.81040225225
2479,164870.2822943877
501,326330.104286134
2362,84822.0903369172
1718,245119.091367119
2188,44393.72046933812
1483,146104.89855924645
2557,99051.48954784242
437,270611.20347912307
2224,224817.16048376798
1628,186689.102233198
397,133580.53069580928
587,196028.3304393855
971,165819.22816332756
2611,157375.78182577668
1887,96354.04782558698
2399,345475.2262611096
2148,211716.06570295338
304,125867.20216248394
1997,111285.67819840717
2817,108733.19580517616
1431,206766.05226174532
427,355209.7533718769
263,125836.21846294706
598,176801.51957688644
2895,265485.35652104276
687,164075.34090637905
1822,132384.4609451252
2191,97015.91529762303
179,134864.12658972526
1009,262679.15957332915
2010,121589.96191187948
1991,134289.39343653573
1411,144507.5945201961
1721,286460.4755618279
1144,179564.32967899763
593,205232.86976616108
575,275976.62421897496
1249,188532.97357841
1604,125159.91420985037
1064,409133.2463883632
1923,149998.78256555623
1988,93524.44868606818
2325,168292.76765896892
114,186751.0404159876
2700,204094.46004915843
217,143126.4722488101
343,187579.10005045542
386,233763.18168749427
2005,100416.71914487891
2908,136275.21912179329
1814,143844.96605769405
2446,451943.55298262835
208,129798.29789208318
1679,106024.29907064675
822,288115.58627231326
6,177036.49728921847
1781,345949.58888295596
2397,319686.4778266747
2340,325116.7439830806
1618,178239.4218773956
2843,128959.28072841326
1061,355231.3322254757
2786,117342.68070905237
1935,130239.05981458211
1341,125195.13570191618
521,276772.1782926149
