id,saleprice
2658,146879.7238611346
2718,169603.0830873195
2414,173867.766572115
1989,112514.94986088201
625,180968.66962514073
333,102117.59415904991
1327,106407.00868958142
858,149418.1807156913
95,204735.8245748533
1568,165765.32997273002
2482,165740.1128248293
1364,138263.19478557538
2584,171561.75679981988
818,298633.8112959489
2673,166650.829169604
2089,103831.03576470353
1297,154762.1279702261
790,124290.26012819912
2616,193856.7554200925
720,207195.5491137309
222,133908.37590630352
557,129049.18851877842
1148,199921.5543612484
2766,149192.03340032976
534,188330.50254123285
1452,119172.81926884409
630,124512.81738047116
2648,118670.7470925618
125,151863.79629952554
1904,87825.25452463608
1670,130405.16185821407
756,102276.96992451977
717,249986.9050853625
1032,141513.8645863058
852,221570.82941878494
1731,167021.44871227443
2639,110140.52867637854
2071,83054.44940482546
1267,75347.43089966569
1851,215485.55992646609
567,141682.89786439948
2439,224670.59958356526
1898,146007.15318922605
647,136667.89568011835
2256,221870.19163696095
979,112068.12188041769
1444,220981.85721047316
2485,109029.48625393398
157,115232.44795354642
88,124217.13982607238
2003,119410.30194187723
186,187438.94473308884
1425,284843.53254629206
2695,117937.80666021723
738,95261.89141394477
395,140470.73067997582
1353,188959.67242434993
1878,138293.7705670828
390,181838.66712353565
1456,236958.44445807487
1103,330179.47394483536
1387,135829.96378608514
2070,130918.78312647343
1199,192318.73847748805
2479,170672.33289308287
501,326423.68598221894
2362,110997.0164042078
1718,183985.93095941376
2188,85735.38348859828
1483,111443.06914682686
2557,99944.02108374424
437,330650.0093958527
2224,190632.6176956836
1628,159541.9169270182
397,133439.84188453015
587,209147.3198792087
971,133897.89761784952
2611,148515.94805654883
1887,76307.62777470239
2399,337933.1553807389
2148,215887.3783912016
304,107396.73942234088
1997,110198.16666556709
2817,111978.64021027368
1431,182930.67347131763
427,388368.4552390212
263,115913.03705131076
598,182276.34032893926
2895,270883.26918983273
687,158303.5368250776
1822,128300.0058772834
2191,102331.58077105973
179,125555.65367590263
1009,205670.80836567376
2010,114888.67980749253
1991,134999.66367604397
1411,140553.35558674298
1721,256911.99884127267
1144,188027.01773829758
593,206784.35566990357
575,270658.0624772152
1249,185508.2351197526
1604,126000.69848147873
1064,471077.98380654585
1923,157359.5960753709
1988,88961.22225537896
2325,165672.77384039108
114,211242.2786812028
2700,197382.68114033714
217,98722.54423920531
343,180427.5430885749
386,250636.9405354904
2005,110204.0486560911
2908,139285.33094138373
1814,214462.58052689303
2446,534189.710937052
208,120309.39786407072
1679,119199.26503123716
822,331414.17489770614
6,186428.53816852346
1781,428832.5374039477
2397,271784.99037075415
2340,305333.81076007895
1618,170973.72592096776
2843,163566.86232990958
1061,373481.80561383907
2786,118981.73554627504
1935,121299.25329404976
1341,107561.82722580433
521,313415.74559172057
2136,144953.10506951623
996,189641.39182179142
227,139069.2359950738
135,162611.71787948627
1167,171128.70343812834
294,222825.40471242834
1776,209575.7312144637
540,172303.24520175904
1717,183985.93095941376
2303,116721.60603747237
116,174659.09151057154
127,125319.71960223466
1371,133520.40166899003
1014,185090.92708369065
1507,82238.28131252993
702,156454.86910846177
750,159230.4307944402
261,148579.86893417407
1559,68816.33123539574
577,234712.57744547166
2812,211575.05919773038
2080,161737.2750480175
1368,119051.20417521149
2376,127730.17395949177
659,102610.58119041938
1235,133475.17896433268
332,99309.3291393118
1917,122570.57333889417
2094,258429.11699569784
1460,302709.9075249983
1471,192782.82075985335
1509,121454.18816272356
1922,124115.9360837685
433,490619.79285791796
460,262684.2693709731
1116,264676.9287310308
1137,160505.49507052265
53,173493.04792825505
2354,269606.8863228094
1475,214029.97331885062
1761,591323.2650128976
842,131509.4930703258
2739,165219.13599684928
2509,139881.2304058196
1007,211170.97265522182
2610,184738.83229275048
1952,95975.9693503445
2719,163410.36239141226
2921,101437.6151767401
1966,134420.596963346
292,130044.59248023853
1204,208845.44991047774
1829,246012.55042224843
2419,179908.33670471422
391,165340.4470210122
798,120995.76022408996
481,181502.40909753274
193,195087.621367909
555,131082.65587784164
899,91258.85616511572
2357,187451.0919860294
328,111384.79835167993
1356,111863.97272769175
1154,110869.80522716977
1730,165901.3498305725
2249,146450.2398784617
1119,254787.63870206568
2856,135592.15219493303
1394,150670.0401782971
2587,120499.20146457851
61,350797.0287282001
2661,202401.49056561757
2711,136840.24213365093
1147,189141.30493986607
757,119464.39337442722
2623,86004.66079308186
2378,158629.55950694717
1413,125984.96880146489
1722,232079.57979403343
1112,212610.80768164713
1623,194756.9073793497
1201,188474.33544982877
1513,112350.2574668182
957,240448.03131101187
1171,288175.10830958653
1145,198597.6691306401
2726,235734.24241184443
703,132633.09252396133
760,101047.01000659354
1964,123564.5840658145
2512,169039.34999744408
159,161742.17810213473
1281,174609.51626724098
468,175577.768124911
290,121113.54563476332
665,107137.59841117449
1463,298600.62728913967
1792,231632.19707106892
923,142579.2122166818
500,285959.8841028465
1408,122027.4104478145
331,95778.74564284831
170,109671.92581627984
2192,98956.42960051913
2571,298726.00143811665
2314,167407.76419583708
2647,99785.9245326249
422,409942.7254431881
2457,361832.14029092435
1838,206624.81490224972
2805,259880.35583824385
1645,177044.04647917207
1711,303915.0309961941
2825,270684.20843882207
322,369739.2666854197
2103,289786.70825373847
342,125396.26647975761
600,108746.72204197384
488,203628.20267348457
1725,337201.7275080122
2246,258334.66168091074
2847,157557.59006742388
806,267005.48675379343
530,244333.03189450502
963,190698.40676315315
2678,91203.18896713853
171,88953.36766616814
2401,415341.9188352581
805,222943.43130014837
2259,201188.79107253812
1748,151896.45577420667
1361,138514.82840304356
1677,118775.14150506165
1406,153211.88806417957
2322,226534.01731344592
688,175584.46000583936
143,136866.91570594627
804,195472.40751234815
1214,177025.9376709247
2828,130074.38921346888
1999,155353.1761140125
2467,192997.63897572923
2665,160194.7248653574
1538,336727.0965134492
398,110742.20376222674
2822,134055.80200401507
2157,111310.16158634424
1856,173428.19427905325
1269,78312.63363909908
2570,125273.09120452218
2320,242600.10763079207
1517,132040.37568978313
2304,120995.55248561595
1312,83695.94123136625
2012,125583.25012302306
506,224185.39944519196
2865,208058.80380228627
2367,89552.40482839849
554,119285.69492708985
238,133047.44255578425
1954,120634.0158098992
2488,116737.88706482109
2291,103525.19118998852
1969,73385.32391331904
2725,150099.00282467064
1482,111443.06914682686
2763,198155.02125306055
503,241596.7597692078
1584,241589.11619749758
1531,160343.7592017837
2210,183794.7590088481
459,340754.44270733185
556,126719.13212698139
1347,140103.66703883
1290,82894.65508330707
1388,113920.01540209353
1571,168204.01635209098
2754,202243.02540031262
765,157280.07339862548
2494,130182.48083577957
2870,161529.81188416667
7,221797.54769617599
1114,240406.62319230195
2418,302518.21390821505
291,169170.83705582097
18,345854.57180182263
39,357107.85372232087
1001,273177.1658028262
2442,259985.8381952364
616,125619.1119881561
2680,71637.43464342691
1414,117896.86614892259
289,136430.5275762733
40,275669.56412876863
860,120790.59338442236
409,139252.21791956853
673,156912.40688427724
2427,172883.14320532512
2036,187487.44667740818
2564,144713.36257924326
642,154548.3714952469
1008,181033.55152764916
1908,161673.58782959916
2519,206255.3145479085
1369,82139.49599846918
2855,175802.71674221847
712,87374.05115775298
1943,98711.895782209
1958,138023.3167060502
107,115576.14815301914
2295,179287.99742642045
704,108116.8041470265
676,129189.89668456186
259,181969.37658446282
93,298969.86282931175
106,249284.92701122258
2315,194116.079398253
1050,113212.47576630209
