id,saleprice
2658,163139.58200751513
2718,144261.50193773245
2414,188693.51446643058
1989,114588.66375852932
625,179998.85948097744
333,110807.03829856116
1327,112316.46163798934
858,145874.13259276378
95,209367.87603717597
1568,170535.3642952573
2482,172128.00884567437
1364,128150.32938634584
2584,168573.8156993296
818,308281.74717007246
2673,169592.81745074218
2089,110382.36707662798
1297,165693.1708183611
790,132775.6286966344
2616,185745.90529354144
720,188992.4238613432
222,139720.37666397134
557,139874.5525285038
1148,187719.36399826113
2766,158429.3054924242
534,199934.57151082848
1452,134239.9090147853
630,138408.19564789138
2648,121600.2625118404
125,154037.09308637018
1904,98742.01248047256
1670,132601.09169057186
756,111432.08172881223
717,266530.90210933675
1032,145088.47896788234
852,218497.71671885694
1731,184278.72799295702
2639,105349.12616988516
2071,87276.85102703788
1267,85825.38270399692
1851,215350.99825138465
567,155114.5523052833
2439,224920.61804117143
1898,152165.0350679791
647,139848.38924469554
2256,217481.61920659643
979,114374.95882208069
1444,226347.28323527297
2485,119441.75167942767
157,126360.6719220861
88,132614.07774268638
2003,117906.73102061648
186,204762.76628367178
1425,283097.1618552563
2695,127501.85568781044
738,107193.90794616251
395,151505.42399062793
1353,188988.736765103
1878,146622.23128495464
390,191915.41478784278
1456,245919.99919839806
1103,306329.34404397337
1387,127870.14667908967
2070,135040.48349238894
1199,201356.5705990956
2479,178589.14111533246
501,301629.575229623
2362,118388.23555083753
1718,185402.64186156826
2188,89551.47946541832
1483,135214.7129781612
2557,105325.17792784788
437,322709.175934045
2224,185630.7625123358
1628,168797.09177176811
397,142070.85862213018
587,188554.83989709435
971,134606.65193646698
2611,153018.93639890125
1887,89924.20966323442
2399,329385.1348175432
2148,213730.63760514327
304,127423.89896273168
1997,121629.43034325549
2817,120194.99122058669
1431,189988.81396412646
427,324333.08577970846
263,130383.67650139825
598,176117.71324702215
2895,257523.96228752748
687,170383.76111515806
1822,135683.73219127735
2191,114445.470161825
179,133490.79496828088
1009,217590.91935468634
2010,121266.3650296181
1991,149002.33906453155
1411,134312.1486537577
1721,253796.83616782003
1144,191934.21257263084
593,222359.56667669234
575,261806.42038020754
1249,189324.03541749885
1604,137445.1485723016
1064,408895.50118173833
1923,162328.2479483215
1988,100961.64089418131
2325,174724.18838291639
114,211069.86182568938
2700,177701.6951268062
217,67041.21119233417
343,178584.54194411848
386,251801.27690439904
2005,109119.1418151689
2908,135653.57252110942
1814,220124.8973351163
2446,494504.1545951514
208,135749.85240715838
1679,129803.22619081537
822,326491.5780995297
6,190317.9049743867
1781,403455.6476338266
2397,280771.9309703653
2340,292733.3512753272
1618,179102.70020348704
2843,143540.70573358197
1061,364580.4242763218
2786,132403.77620355593
1935,126788.5294096929
1341,119990.20445691675
521,311849.785048646
2136,145627.94839730966
996,192474.85753605305
227,148073.7978389269
135,162239.204079425
1167,174319.31459986747
294,214976.48807137838
1776,212667.06952705054
540,189516.88398849338
1717,185402.64186156826
2303,131753.25182570342
116,180439.3591543089
127,128463.9370361482
1371,133201.15571558668
1014,176140.22473174933
1507,95672.8437349235
