id,saleprice
2658,149177.73610930517
2718,159135.19511585683
2414,167522.9489709288
1989,138993.5438135229
625,179948.9480605945
333,106962.60702241957
1327,129802.87860440463
858,150585.72695542872
95,231602.6028856337
1568,152935.2854084447
2482,160284.29421569407
1364,132171.60146646202
2584,183831.63947357237
818,309350.0532850474
2673,165576.4156103991
2089,116846.06123907864
1297,146538.05456881598
790,126419.97358495742
2616,213316.5590911135
720,203614.81576141343
222,137546.61671442538
557,121608.62875820696
1148,212373.89003048837
2766,138412.10964748263
534,193381.55903372169
1452,118416.70138067752
630,134001.99241033196
2648,95263.52486527339
125,144233.51624857634
1904,84310.36936450005
1670,115384.9247918874
756,106043.7608938925
717,294857.0040149689
1032,161318.84829233587
852,222887.5172491446
1731,165073.23899503052
2639,120415.40926102549
2071,97389.45551860332
1267,109014.35502012074
1851,201648.43849624693
567,152647.7178209126
2439,219784.38162761182
1898,158872.87515981495
647,142539.99366743863
2256,212512.3413517624
979,118548.62316177785
1444,222767.90503630787
2485,119934.33042119443
157,131082.50219216943
88,126164.73592144996
2003,126157.38140588254
186,227662.15352005512
1425,275342.02301348746
2695,136137.99954357743
738,79901.8260993734
395,163502.01708716154
1353,166310.22106212005
1878,128840.42963963747
390,153278.11466944218
1456,221934.05827078223
1103,326917.56185301393
1387,139040.7049341537
2070,143512.2375043407
1199,175710.0690723136
2479,165734.93977485597
501,330423.0891485587
2362,103427.76274996251
1718,192154.13359751552
2188,84558.09806892276
1483,140150.54649811238
2557,92845.46583043784
437,326863.26188563555
2224,188069.72380489856
1628,138154.92722404748
397,127879.44001140445
587,198050.82141654193
971,145796.953721568
2611,151043.8281736374
1887,91394.97162255645
2399,350921.9905618429
2148,216731.82960951328
304,104557.37989265099
1997,139459.86885415018
2817,121901.68581605703
1431,180726.64380898327
427,370133.3415562436
263,116548.72003906965
598,154608.44356303662
2895,251907.05774400383
687,172373.4590537101
1822,133285.3582803309
2191,106535.01534034312
179,147605.73187632114
1009,181874.9723907858
2010,129737.92323902994
1991,139288.47758075595
1411,142499.74555371702
1721,253612.10041175038
1144,191985.04148584604
593,203621.32270535827
575,282538.0529050976
1249,158354.5014444813
1604,123163.53126683086
1064,464089.47380529344
1923,150832.26264170557
1988,104067.70309388638
2325,155861.57763133943
114,197283.97032616287
2700,191631.31199682504
217,99932.62833525985
343,187293.12531402707
386,244071.6675233245
2005,140732.12118343264
2908,130382.51666101068
1814,222191.16005305946
2446,560711.7843142822
208,133984.22525360808
1679,116271.64635311812
822,338822.0944453925
6,180214.7086865753
1781,422825.8037054911
2397,304199.0181059092
2340,301583.7911033407
1618,159420.9200599119
2843,86298.05066742003
1061,385826.9015002027
2786,114542.39262767136
1935,137634.61267536134
1341,117485.67261030897
521,290213.2124479115
2136,116814.5110180825
996,182857.8008343652
227,130373.87608382106
135,161672.4567271918
1167,171189.56936070323
294,234703.68415429443
1776,211484.72115294635
540,179966.94317425787
1717,192154.13359751552
2303,117834.07983396202
116,196931.01173119247
127,137091.9855787158
1371,146775.52991453558
1014,186177.7307040915
1507,77324.86165884137
702,180647.85606790334
750,147321.02906521037
261,135861.63911629468
1559,81133.66913903877
577,229612.66245738417
2812,207336.6745636016
2080,154716.15895155072
1368,113417.61736848205
2376,115394.14363659918
659,111311.21345095336
1235,129147.57557064295
332,103406.03343056142
1917,137324.16039712727
2094,239867.87603248656
1460,312999.01238548756
1471,199570.103839539
1509,130233.61118564755
1922,139274.06584978104
433,489868.4536503628
460,267560.5728427768
1116,276527.6116267964
1137,165607.57496523857
53,170485.09038488567
2354,262425.1489068866
1475,215726.82273530215
1761,654291.7003097236
842,137051.83748022467
2739,155814.98371664435
2509,136622.46603740007
1007,206763.58958388865
2610,175738.98918643594
1952,80391.11444550753
2719,167850.1153975129
2921,105019.4627975896
1966,133400.81376595795
292,113047.94519163668
1204,199801.12982999533
1829,255431.6960663274
2419,176714.70415041596
391,157960.88484944403
798,113280.48599298298
481,174383.85341577977
193,216639.84726106003
555,125891.12914542109
899,98409.3614982143
2357,173286.95134052634
328,122337.51709888875
1356,104878.71951178461
1154,112934.71930328012
1730,170544.57966727763
2249,128604.28842935711
1119,281485.4461565837
2856,124659.29489650577
1394,132255.44061803073
2587,140275.3093802929
